sourceDepth,recDepth,recRange,simGvel,txNode,rxNode,owtt
90,30,2046.16125933629,1443.79432833024,East,South,1.42905
90,30,2046.10009941578,1443.79369619253,East,South,1.42902
90,30,2046.852231707,1443.7970209219,East,South,1.42901
90,30,2046.80331182045,1443.79629234691,East,South,1.42905
20,30,NaN,NaN,Camp,South,1.05665
90,30,2046.96907700909,1443.79754440711,East,South,1.42903
20,30,NaN,NaN,Camp,South,1.05668
90,30,2046.94169338228,1443.79727933962,East,South,1.42898
20,30,NaN,NaN,Camp,South,1.05666
90,30,2046.51368615648,1443.79597815369,East,South,1.42904
20,30,NaN,NaN,Camp,South,1.05665
90,30,2047.02460908809,1443.79861296145,East,South,1.42901
20,30,NaN,NaN,Camp,South,1.05664
90,30,2046.28152206958,1443.79516835046,East,South,1.42906
90,30,2045.98899147911,1443.79462771393,East,South,1.42903
90,90,2045.68206253169,1443.79343146497,East,South,1.41808
90,90,2046.37086420247,1449.51028713934,East,South,1.41803
90,90,2046.51460241479,1449.50969509219,East,South,1.41798
90,90,2046.80992200362,1449.50899991881,East,South,1.42395
90,90,2046.914376558,1449.50936606217,East,South,1.41801
90,90,2046.48633732884,1449.50834686342,East,South,1.41798
90,90,2046.45213778525,1449.50700819055,East,South,1.41803
90,90,2046.44823401105,1449.50703380867,East,South,1.41799
90,90,2046.01924978046,1449.50636144166,East,South,1.41796
90,90,2046.55393770808,1449.50622506867,East,South,1.41794
90,90,2046.75115118095,1449.50489020136,East,South,1.41796
90,90,2046.84688853614,1449.50423150266,East,South,1.41804
90,90,2046.48803450986,1449.50438738174,East,South,1.41806
90,90,2046.4419195761,1449.50540695447,East,South,1.41808
90,90,2046.43763816161,1449.50571992931,East,South,1.41813
90,90,2046.39544982193,1449.50604922509,East,South,1.41805
90,90,2046.46369447962,1449.50581647087,East,South,1.41804
90,90,2046.01791622489,1449.50484929326,East,South,1.41799
90,90,2045.99340404775,1449.50527108371,East,South,1.41801
90,90,2046.73722808136,1449.50666633897,East,South,1.41801
90,90,2045.99185104185,1449.50586724163,East,South,1.41798
90,90,2046.29513509008,1449.50562040007,East,South,1.41791
90,90,2047.17221680736,1449.50652668558,East,South,1.42385
90,90,2047.134452711,1449.50648733508,East,South,1.41782
90,90,2046.94379540986,1449.50691743173,East,South,1.41778
90,90,2045.85350055108,1449.50596312932,East,South,1.41783
90,90,2046.3357313309,1449.50809556693,East,South,1.41779
90,90,2046.38965621843,1449.5083245224,East,South,1.41775
90,90,2046.13263349473,1449.50874088977,East,South,1.4176
90,90,2046.15774300125,1449.50837468338,East,South,1.41748
90,90,2046.12474188268,1449.50876066871,East,South,1.41732
90,90,2046.16479404154,1449.50966473725,East,South,1.41727
90,90,2046.95765653687,1449.51013205727,East,South,1.41722
20,90,1463.46386403399,1442.03971231233,Camp,East,1.0189
20,90,1463.33012462854,1442.03352917224,Camp,East,1.01885
20,90,1462.83025932276,1442.03309991938,Camp,East,1.01886
20,90,1462.40026703903,1442.06363684668,Camp,East,1.01893
20,90,1462.83249120809,1442.03601758163,Camp,East,1.01898
20,90,1462.75057362353,1442.03451400865,Camp,East,1.01897
20,90,1463.45466091151,1442.03172336128,Camp,East,1.01897
20,90,1462.62286364423,1442.05986669408,Camp,East,1.01904
20,90,1461.74737356369,1442.04418416965,Camp,East,1.01901
20,90,1461.64599382321,1441.99706670172,Camp,East,1.019
20,90,1462.08635364015,1442.04789501465,Camp,East,1.019
20,90,1460.49263372689,1442.04362837879,Camp,East,1.01898
20,90,1461.02738411034,1442.05577686434,Camp,East,1.01894
20,90,1461.30390045892,1442.05571081505,Camp,East,1.019
20,90,1460.88803714746,1442.04100692247,Camp,East,1.01959
20,90,1461.58506001217,1442.05196809526,Camp,East,1.01961
20,90,1461.54116386578,1442.05410160691,Camp,East,1.01906
20,90,1461.23193092967,1442.04744002195,Camp,East,1.01906
20,90,1460.8789315521,1442.01538988256,Camp,East,1.01913
20,90,1460.50708668926,1441.98693532895,Camp,East,1.01913
20,90,1461.71227929715,1442.01447258182,Camp,East,1.01902
20,90,1462.08532916873,1442.00907337599,Camp,East,1.01898
20,90,1463.35379662401,1442.01248178481,Camp,East,1.01904
20,90,1463.75291216336,1442.05535076709,Camp,East,1.01901
20,90,1464.54014775362,1442.0097772016,Camp,East,1.01899
20,90,1462.12477443216,1442.09247781797,Camp,East,1.01903
20,90,1461.80857350848,1442.04392934258,Camp,East,1.01903
20,90,1462.03746049711,1442.02363498738,Camp,East,1.01904
20,90,1461.62342775959,1442.03065411011,Camp,East,1.01902
20,90,1462.7367635246,1442.04157012239,Camp,East,1.01701
20,90,1463.08735418134,1442.04576528277,Camp,East,1.01762
20,90,1464.43707912637,1442.06237509554,Camp,East,1.01691
20,90,1464.99396214112,1442.02703711011,Camp,East,1.01687
20,90,1466.43471148907,1442.04754896581,Camp,East,1.01678
90,30,2149.16697836774,1444.74652247154,East,North,1.50134
90,30,2149.10478362862,1444.74697538498,East,North,1.5014
90,30,2150.14256159599,1444.74423861298,East,North,1.50134
90,30,2150.0958834216,1444.74455327735,East,North,1.50137
90,30,2149.72759204798,1444.74636060109,East,North,1.50144
90,30,2149.85307650365,1444.74565843,East,North,1.50178
90,30,2149.53005320543,1444.74790232227,East,North,1.50179
20,30,NaN,NaN,Camp,North,1.14131
20,30,NaN,NaN,Camp,North,1.14122
20,30,NaN,NaN,Camp,North,1.1412
20,30,NaN,NaN,Camp,North,1.14124
90,30,2147.86997181408,1444.7521393752,East,North,1.50201
90,30,2148.81395238636,1444.75056549829,East,North,1.50195
20,30,NaN,NaN,Camp,North,1.14124
90,30,2149.33787674544,1444.74573277698,East,North,1.50178
90,30,2149.51876050701,1444.74466966595,East,North,1.50172
20,30,NaN,NaN,Camp,North,1.14121
90,30,2149.0181605384,1444.74609217546,East,North,1.50172
90,30,2149.11931129466,1444.74669211138,East,North,1.50174
90,30,2149.29931595523,1444.74658865485,East,North,1.50158
90,30,2149.51878770166,1444.74506491003,East,North,1.50154
20,30,NaN,NaN,Camp,North,1.1412
90,90,2148.82980175117,1444.74762332073,East,North,1.4894
90,90,2148.79548046033,1442.34907638533,East,North,1.48941
90,90,2148.43974618459,1442.35097306905,East,North,1.48942
90,90,2148.52274306507,1442.35067205183,East,North,1.48945
90,90,2149.95534011444,1442.34758949583,East,North,1.48938
90,90,2149.9486228317,1442.34735653121,East,North,1.48938
90,90,2148.92597860203,1442.34795650837,East,North,1.48937
90,90,2148.97401451157,1442.34709334705,East,North,1.48939
90,90,2149.22935329767,1442.34504407563,East,North,1.4894
90,90,2149.69628561125,1442.3438383549,East,North,1.48941
90,90,2149.57363504625,1442.34414272496,East,North,1.49513
90,90,2149.39814413528,1442.34499186617,East,North,1.49517
90,90,2149.54709053218,1442.34642050308,East,North,1.49519
90,90,2149.76781269803,1442.34652879469,East,North,1.49519
90,90,2149.54378371819,1442.34760900165,East,North,1.49521
90,90,2149.54120597034,1442.34774944415,East,North,1.49523
90,90,2149.60521944321,1442.34719153139,East,North,1.49524
90,90,2149.52386342927,1442.34769330139,East,North,1.49522
90,90,2149.46612417643,1442.34890725223,East,North,1.49524
90,90,2149.17151930664,1442.35001912083,East,North,1.49522
90,90,2149.37272083375,1442.3486938985,East,North,1.49522
90,90,2149.54739081212,1442.3472118764,East,North,1.49517
90,90,2149.62768107649,1442.34612320655,East,North,1.49515
90,90,2149.57970658916,1442.34694210054,East,North,1.48933
90,90,2149.43590939632,1442.34677625956,East,North,1.49512
90,90,2149.23057975042,1442.34742642884,East,North,1.49515
90,90,2149.05234435889,1442.34847139055,East,North,1.48938
90,90,2148.9845893564,1442.34856365161,East,North,1.4894
90,90,2148.71723677495,1442.34781222732,East,North,1.4894
90,90,2149.04907531613,1442.34576332605,East,North,1.48941
90,90,2149.09951283682,1442.34608239851,East,North,1.49518
90,90,2148.90424151532,1442.34771281244,East,North,1.49516
90,90,2148.74503737005,1442.34843746949,East,North,1.48938
90,90,2149.83012883228,1442.34694807048,East,North,1.48936
90,90,2149.42558900584,1442.34642016405,East,North,1.49516
90,90,2149.41028835484,1442.34611210777,East,North,1.48938
90,90,2149.13741192616,1442.34659549261,East,North,1.48938
90,90,2149.05344002842,1442.34655657002,East,North,1.49513
90,90,2148.745786997,1442.34869090923,East,North,1.49514
90,90,2148.57256372939,1442.35049404136,East,North,1.48932
90,90,2148.65688251395,1442.35033891571,East,North,1.48933
90,90,2148.6229999289,1442.34980338941,East,North,1.49517
90,90,2148.37402415099,1442.35092635101,East,North,1.48911
