sourceDepth,recDepth,recRange,simGvel,txNode,rxNode,owtt
90,30,2149.90288023391,1444.74423861298,East,North,1.50134
90,30,2150.0262861179,1444.74455327735,East,North,1.50137
90,30,2150.17932452646,1444.74636060109,East,North,1.50144
90,30,2149.49729874385,1444.74565843,East,North,1.50178
90,30,2148.88918345222,1444.74790232227,East,North,1.50179
20,30,1629.6625801392,NaN,Camp,North,1.14131
20,30,1629.47969647715,NaN,Camp,North,1.14122
20,30,1633.84957032833,NaN,Camp,North,1.1412
20,30,1632.37011786747,NaN,Camp,North,1.14124
90,30,2148.76334092723,1444.7521393752,East,North,1.50201
90,30,2148.57595173527,1444.75056549829,East,North,1.50195
20,30,1629.47647359846,NaN,Camp,North,1.14124
90,30,2148.98011354867,1444.74573277698,East,North,1.50178
90,30,2148.973469326,1444.74466966595,East,North,1.50172
20,30,1632.88699620784,NaN,Camp,North,1.14121
90,30,2149.20774783458,1444.74609217546,East,North,1.50172
90,30,2148.99795416029,1444.74669211138,East,North,1.50174
90,30,2149.17741816776,1444.74658865485,East,North,1.50158
90,30,2148.91713429009,1444.74506491003,East,North,1.50154
20,30,1635.08550904184,NaN,Camp,North,1.1412
90,90,2149.20473278138,1444.74762332073,East,North,1.4894
90,90,2148.61380129363,1442.34907638533,East,North,1.48941
90,90,2148.5441132221,1442.35097306905,East,North,1.48942
90,90,2149.06354284656,1442.35067205183,East,North,1.48945
90,90,2149.48643399536,1442.34758949583,East,North,1.48938
90,90,2149.15907043175,1442.34735653121,East,North,1.48938
90,90,2149.07845952386,1442.34795650837,East,North,1.48937
90,90,2149.39622267952,1442.34709334705,East,North,1.48939
90,90,2149.60811686683,1442.34504407563,East,North,1.4894
90,90,2149.66137522325,1442.3438383549,East,North,1.48941
90,90,2149.36209919933,1442.34414272496,East,North,1.49513
90,90,2149.02187061994,1442.34499186617,East,North,1.49517
90,90,2149.58640825259,1442.34642050308,East,North,1.49519
90,90,2149.32273379163,1442.34652879469,East,North,1.49519
90,90,2149.42024662268,1442.34760900165,East,North,1.49521
90,90,2149.68022454917,1442.34774944415,East,North,1.49523
90,90,2149.26775804384,1442.34719153139,East,North,1.49524
90,90,2149.14390807066,1442.34769330139,East,North,1.49522
90,90,2148.89348395173,1442.34890725223,East,North,1.49524
90,90,2149.22761870648,1442.35001912083,East,North,1.49522
90,90,2149.60917024988,1442.3486938985,East,North,1.49522
90,90,2149.47901732055,1442.3472118764,East,North,1.49517
90,90,2149.3106522419,1442.34612320655,East,North,1.49515
90,90,2148.94752144695,1442.34694210054,East,North,1.48933
90,90,2148.89216338407,1442.34677625956,East,North,1.49512
90,90,2148.97824519095,1442.34742642884,East,North,1.49515
90,90,2148.96776085939,1442.34847139055,East,North,1.48938
90,90,2149.15234872852,1442.34856365161,East,North,1.4894
90,90,2149.24647849195,1442.34781222732,East,North,1.4894
90,90,2149.34965464485,1442.34576332605,East,North,1.48941
90,90,2149.35375029695,1442.34608239851,East,North,1.49518
90,90,2149.22857773267,1442.34771281244,East,North,1.49516
90,90,2149.52416197912,1442.34843746949,East,North,1.48938
90,90,2149.66611894863,1442.34694807048,East,North,1.48936
90,90,2149.43443901021,1442.34642016405,East,North,1.49516
90,90,2148.99149665779,1442.34611210777,East,North,1.48938
90,90,2149.1381316637,1442.34659549261,East,North,1.48938
90,90,2148.77760921647,1442.34655657002,East,North,1.49513
90,90,2148.76865605438,1442.34869090923,East,North,1.49514
90,90,2148.62485160818,1442.35049404136,East,North,1.48932
90,90,2148.57113919899,1442.35033891571,East,North,1.48933
90,90,2148.68334447613,1442.34980338941,East,North,1.49517
90,90,2148.55551314708,1442.35092635101,East,North,1.48911
90,90,2148.82666322599,1442.35098938543,East,North,1.48911
90,90,2148.51850728083,1442.35092116798,East,North,1.48913
90,90,2149.20680660261,1442.35131268146,East,North,1.48904
90,90,2149.0140599025,1442.34820037813,East,North,1.48899
