index,must_bnc,owtt
560,False,1.4899696
561,False,1.1337206
562,False,1.4900175
563,False,1.1337857
564,False,1.4901408
565,False,1.133453
566,False,1.4900211
567,False,1.4894632
568,False,1.1331029
569,False,1.4894395
570,False,1.1327877
571,False,1.4895265
572,False,1.1330961
573,False,1.4895353
574,False,1.1323637
575,False,1.489371
576,False,1.1328408
577,False,1.489591
578,False,1.489766
579,False,1.1338706
580,False,1.4897813
581,False,1.4895409
582,False,1.1336907
583,False,1.4894676
584,False,1.4896157
585,False,1.1345291
586,False,1.4897369
587,False,1.1336825
588,False,1.4896381
589,False,1.1340228
590,False,1.2257912
591,False,1.2257276
592,False,1.2259439
593,False,1.2258306
594,False,1.2258285
595,False,1.2264724
596,False,1.2253666
597,False,1.225451
598,False,1.2258209
599,False,1.2256688
600,False,1.2253437
601,False,1.2261584
602,False,1.2242774
603,False,1.2255899
604,False,1.2259606
605,False,1.2249267
606,False,1.2251405
607,False,1.2283492
608,False,1.2277097
609,False,1.2271024
610,False,1.2278736
611,False,1.2282913
612,False,1.2280852
613,False,1.2286452
614,False,1.2287946
615,False,1.2283244
616,False,1.2276342
617,False,1.2273507
618,False,1.2278887
619,False,1.228395
620,False,1.2293355
621,False,1.2291074
622,False,1.229413
623,False,2.192745
624,False,1.2295394
625,False,2.1930826
626,False,1.2295035
627,False,2.192892
628,False,2.1926844
629,False,1.2295831
630,False,2.1928747
631,False,2.1927783
632,False,2.1928306
633,False,2.193086
634,False,1.2296212
635,False,2.193133
636,False,1.2295989
637,False,2.1933286
638,False,1.2293066
639,False,1.2293475
640,False,2.193038
641,False,1.2290021
642,False,1.2287289
643,False,1.2287303
644,False,1.2297124
645,False,1.2303029
646,False,1.2307546
647,False,1.2304094
648,False,1.0476881
649,False,1.0475781
650,False,1.0475062
651,False,1.0476992
652,False,1.0471224
653,False,1.0466397
654,False,1.0463222
655,False,1.0472641
656,False,1.0466895
657,False,1.0474087
658,False,1.0475013
659,False,1.0477151
660,False,1.0475193
661,False,1.0472468
662,False,1.0461438
