index,must_bnc,owtt
123,False,1.0501809
124,False,1.0495441
125,False,1.0490406
126,False,1.0486976
127,False,1.4199075
128,False,1.0490764
129,False,1.4200133
130,False,1.0493933
131,False,1.4199579
132,False,1.4199755
133,False,1.05038
134,False,1.4201658
135,False,1.0510535
136,False,1.4201388
137,False,1.0514877
138,False,1.4201195
139,False,1.0506815
140,False,1.4199492
141,False,1.0496663
142,False,1.4198244
143,False,1.0501629
144,False,1.050647
145,False,1.049835
146,False,1.0500417
147,False,1.4202938
148,False,1.0500633
149,False,1.4202774
150,False,1.0494547
151,False,1.4201404
152,False,1.0498627
153,False,1.4201217
154,False,1.0489632
155,False,1.4200053
156,False,1.0495597
157,False,1.4200615
158,False,1.4200739
159,False,1.0487529
160,False,1.4199228
161,False,1.0486349
162,False,1.4200501
163,False,1.0491581
164,False,1.4201167
165,False,1.419893
166,False,1.049826
167,False,1.4195676
168,False,1.4195065
169,False,1.4196784
170,False,1.419542
171,False,1.4197115
172,False,1.0497838
173,False,1.419769
174,False,1.048961
175,False,1.4196314
176,False,1.0484265
177,False,1.419803
178,False,1.0489371
179,False,1.4196211
180,False,1.0494084
181,False,1.4196593
182,False,1.4194928
183,False,1.418577
184,False,1.4186469
185,False,1.4187192
186,False,1.4187946
187,False,1.4185548
188,False,1.4185562
189,False,1.4185231
190,False,1.4185024
191,False,1.4183846
192,False,1.4187924
193,False,1.4187336
194,False,1.4186866
195,False,1.418717
196,False,1.4186561
197,False,1.418717
198,False,1.4187309
199,False,1.4184766
200,False,1.4186206
201,False,1.4186516
202,False,1.4185749
203,False,1.4186021
204,False,1.4187633
205,False,1.4187548
206,False,1.418559
207,False,1.4184284
208,False,1.4184834
209,False,1.4184514
210,False,1.4181783
211,False,1.4182912
212,False,1.4183354
213,False,1.4183533
214,False,1.4186337
215,False,1.4184308
216,False,1.0167637
217,False,1.0160856
218,False,1.0160786
219,False,1.0161828
220,False,1.0160524
221,False,1.0161301
222,False,1.0161593
223,False,1.0164267
224,False,1.0146495
225,False,1.0154977
226,False,1.0149069
227,False,1.014761
228,False,1.0147948
229,False,1.0160109
230,False,1.015056
231,False,1.0152899
232,False,1.0148212
233,False,1.0148675
234,False,1.0143868
235,False,1.0151709
236,False,1.0155988
237,False,1.0160601
238,False,1.017132
239,False,1.0170233
240,False,1.0160942
241,False,1.0160109
242,False,1.0153276
243,False,1.0154938
244,False,1.0151278
245,False,1.0161157
246,False,1.0165062
247,False,1.0174439
248,False,1.0174612
249,False,1.0184501
250,False,1.4908339
251,False,1.4912884
252,False,1.4912525
253,False,1.4913374
254,False,1.4914433
255,False,1.4909722
256,False,1.4905517
