index,must_bnc,owtt
189,False,1.419441
190,False,1.4194208
191,False,1.4193025
192,False,1.419711
193,False,1.419652
194,False,1.419605
195,False,1.419635
196,False,1.4195743
197,False,1.419635
198,False,1.4196492
199,False,1.4193946
200,False,1.419539
201,False,1.4195702
202,False,1.4194932
203,False,1.4195201
204,False,1.4196818
205,False,1.4196734
206,False,1.4194771
207,False,1.4193468
208,False,1.4194016
209,False,1.4193699
210,False,1.4190965
211,False,1.4192095
212,False,1.419254
213,False,1.4192712
214,False,1.4195518
215,False,1.419349
216,False,1.0177436
217,False,1.0170647
218,False,1.0170578
219,False,1.0171617
220,False,1.0170314
221,False,1.017109
222,False,1.0171381
223,False,1.0174057
224,False,1.0156265
225,False,1.0164759
226,False,1.0158843
227,False,1.0157382
228,False,1.0157722
229,False,1.0169897
230,False,1.0160335
231,False,1.0162678
232,False,1.0157984
233,False,1.015845
234,False,1.0153637
235,False,1.0161487
236,False,1.0165771
237,False,1.0170391
238,False,1.0181125
239,False,1.0180036
240,False,1.0170729
241,False,1.0169897
242,False,1.0163054
243,False,1.0164717
244,False,1.0161057
245,False,1.0170944
246,False,1.0174856
247,False,1.0184244
248,False,1.0184418
249,False,1.019432
250,False,1.4926316
251,False,1.4930879
252,False,1.493052
253,False,1.4931372
254,False,1.4932431
255,False,1.4927704
256,False,1.4923484
257,False,1.1354619
258,False,1.1353346
259,False,1.1383761
260,False,1.137346
261,False,1.4922613
262,False,1.4921314
263,False,1.1353317
264,False,1.4924117
265,False,1.4924067
266,False,1.1377059
267,False,1.4925697
268,False,1.4924242
269,False,1.4925481
270,False,1.492368
271,False,1.1392366
272,False,1.4907613
273,False,1.4903511
274,False,1.4903026
275,False,1.4906634
276,False,1.490956
277,False,1.4907292
278,False,1.4906727
279,False,1.4908935
280,False,1.4910403
281,False,1.4910773
282,False,1.49087
283,False,1.4906342
284,False,1.491025
285,False,1.4908429
286,False,1.4909099
287,False,1.4910904
288,False,1.4908046
289,False,1.4907186
290,False,1.4905444
291,False,1.4907767
292,False,1.4910412
293,False,1.490951
294,False,1.4908345
295,False,1.4905825
296,False,1.4905436
297,False,1.4906034
298,False,1.4905965
299,False,1.4907243
300,False,1.4907895
301,False,1.4908614
302,False,1.4908643
303,False,1.4907776
304,False,1.490982
305,False,1.4910806
306,False,1.4909198
307,False,1.4906125
308,False,1.4907144
309,False,1.4904649
310,False,1.4904583
311,False,1.4903588
312,False,1.490321
313,False,1.4903986
314,False,1.4903108
315,False,1.4904991
316,False,1.4902853
317,False,1.4907622
318,False,1.4906285
319,False,1.4905167
320,False,1.4906214
321,False,1.4905915
322,False,1.490456
323,False,1.4905298
324,False,1.490863
325,False,1.4907478
326,False,1.4906228
327,False,1.2352303
328,False,1.235575
329,False,1.2336538
330,False,1.2336483
331,False,1.2342768
332,False,1.2346637
333,False,1.2345073
334,False,1.2341607
335,False,1.2348067
336,False,1.2352941
337,False,1.2350019
338,False,1.2351143
339,False,1.2348939
340,False,1.234793
341,False,1.234467
342,False,1.234892
343,False,1.2360106
344,False,1.2365934
345,False,1.234938
346,False,1.2352687
347,False,1.2363518
348,False,1.2308522
349,False,1.2323406
350,False,1.2313954
351,False,1.2313954
352,False,1.0527545
353,False,1.0520841
354,False,1.0542425
355,False,1.0527763
356,False,1.0535767
357,False,1.0533824
358,False,1.053029
359,False,1.4218396
360,False,1.0545894
361,False,1.4215882
362,False,1.4215702
363,False,1.0536622
364,False,1.4218463
365,False,1.4215903
366,False,1.0543653
367,False,1.4219813
368,False,1.0544851
369,False,1.4216492
370,False,1.0543888
371,False,1.4217076
372,False,1.0542134
373,False,1.4214522
374,False,1.053194
375,False,1.4215363
376,False,1.0531363
377,False,1.4214945
378,False,1.4213315
379,False,1.0529656
380,False,1.4214655
381,False,1.0544112
382,False,1.4216582
383,False,1.4215592
384,False,1.0532331
385,False,1.4215494
386,False,1.4214675
387,False,1.052857
388,False,1.0545498
389,False,1.0543804
390,False,1.0535979
391,False,1.0530715
392,False,1.0518146
393,False,1.0515373
