index,must_bnc,owtt
142,False,1.4141431
143,False,1.0432425
144,False,1.0437233
145,False,1.042915
146,False,1.0431216
147,False,1.4146117
148,False,1.0431429
149,False,1.4145951
150,False,1.042535
151,False,1.4144583
152,False,1.0429426
153,False,1.4144396
154,False,1.042046
155,False,1.4143234
156,False,1.0426401
157,False,1.4143795
158,False,1.4143918
159,False,1.0418359
160,False,1.4142412
161,False,1.0417178
162,False,1.4143684
163,False,1.0422387
164,False,1.4144346
165,False,1.4142116
166,False,1.042906
167,False,1.4138867
168,False,1.4138259
169,False,1.4139973
170,False,1.4138612
171,False,1.4140306
172,False,1.0428638
173,False,1.4140879
174,False,1.0420438
175,False,1.4139503
176,False,1.0415099
177,False,1.4141215
178,False,1.0420197
179,False,1.41394
180,False,1.0424888
181,False,1.413978
182,False,1.413812
183,False,1.4173666
184,False,1.4174364
185,False,1.4175082
186,False,1.4175835
187,False,1.4173445
188,False,1.4173456
189,False,1.4173125
190,False,1.4172926
191,False,1.4171743
192,False,1.4175814
193,False,1.4175228
194,False,1.4174757
195,False,1.4175061
196,False,1.4174453
197,False,1.4175061
198,False,1.4175198
199,False,1.4172662
200,False,1.4174101
201,False,1.4174411
202,False,1.4173644
203,False,1.4173913
204,False,1.4175524
205,False,1.4175441
206,False,1.4173485
207,False,1.4172186
208,False,1.4172734
209,False,1.4172415
210,False,1.4169692
211,False,1.4170818
212,False,1.417126
213,False,1.4171433
214,False,1.4174232
215,False,1.4172206
216,False,1.0141492
217,False,1.0134723
218,False,1.0134654
219,False,1.0135692
220,False,1.0134392
221,False,1.0135165
222,False,1.0135456
223,False,1.0138125
224,False,1.012039
225,False,1.0128857
226,False,1.0122961
227,False,1.0121503
228,False,1.0121841
229,False,1.0133977
230,False,1.0124449
231,False,1.0126783
232,False,1.0122105
233,False,1.0122566
234,False,1.011777
235,False,1.0125594
236,False,1.0129867
237,False,1.0134468
238,False,1.0145168
239,False,1.0144081
240,False,1.0134807
241,False,1.0133977
242,False,1.0127156
243,False,1.0128815
244,False,1.0125165
245,False,1.013502
246,False,1.0138919
247,False,1.0148278
248,False,1.0148451
249,False,1.0158322
250,False,1.4848293
251,False,1.485284
252,False,1.4852481
253,False,1.4853331
254,False,1.4854387
255,False,1.4849675
256,False,1.4845475
257,True,1.1352843
258,True,1.1351559
259,True,1.138151
260,True,1.1412086
261,False,1.4844602
262,False,1.4843309
263,True,1.1351532
264,False,1.4846102
265,False,1.4846053
266,True,1.1417369
267,False,1.4847678
268,False,1.4846227
269,False,1.4847463
270,False,1.4845666
271,True,1.1390241
272,False,1.4883618
273,False,1.4879535
274,False,1.4879054
