index,must_bnc,owtt
466,False,1.0154146
467,False,1.490265
468,False,1.4902402
469,False,1.4899142
470,False,1.4902656
471,False,1.1365949
472,False,1.490234
473,False,1.136085
474,False,1.4903101
475,False,1.4905683
476,False,1.4906678
477,False,1.4906311
478,False,1.490891
479,False,1.1369289
480,False,1.4907683
481,False,1.1371813
482,False,1.1370382
483,False,1.1369526
484,False,1.4903738
485,False,1.4904479
486,False,1.4906908
487,False,1.490758
488,False,1.4906106
489,False,1.1381946
490,False,1.4907484
491,False,1.1386074
492,False,1.4908482
493,False,1.138447
494,False,1.4908943
495,False,1.4905399
496,False,1.4905566
497,False,1.4904895
498,False,1.4907109
499,False,1.490816
500,False,1.1370293
501,False,1.4895958
502,False,1.1303818
503,False,1.4893644
504,False,1.4894229
505,False,1.1312028
506,False,1.4893582
507,False,1.1311507
508,False,1.4891586
509,False,1.1320941
510,False,1.4890449
511,False,1.4892409
512,False,1.1329256
513,False,1.4893863
514,False,1.1329899
515,False,1.4896344
516,False,1.1332961
517,False,1.4896966
518,False,1.4898725
519,False,1.1335716
520,False,1.4898081
521,False,1.1337582
522,False,1.4897605
523,False,1.1339105
524,False,1.4894558
525,False,1.1345865
526,False,1.4893351
527,False,1.489196
528,False,1.1328686
529,False,1.489261
530,False,1.1337068
531,False,1.4893745
532,False,1.4893082
533,False,1.4895817
534,False,1.4895749
535,False,1.4895623
536,False,1.1351266
537,False,1.4894153
538,False,1.4892838
539,False,1.1360819
540,False,1.4893082
541,False,1.4892867
542,False,1.4892942
543,False,1.135644
544,False,1.4892529
545,False,1.1355988
546,False,1.4895693
547,False,1.1355484
548,False,1.489525
549,False,1.4897268
550,False,1.1345572
551,False,1.4898125
552,False,1.1346259
553,False,1.489784
554,False,1.4895158
555,False,1.1354156
556,False,1.4896065
557,False,1.1354045
558,False,1.4901531
559,False,1.1359038
560,False,1.4904141
561,False,1.1355672
562,False,1.4904625
563,False,1.1356323
564,False,1.4905872
565,False,1.1352991
566,False,1.490466
567,False,1.4899023
568,False,1.1349486
569,False,1.4898782
570,False,1.134633
571,False,1.4899662
572,False,1.1349415
573,False,1.4899749
574,False,1.1342082
575,False,1.4898092
576,False,1.1346862
577,False,1.490031
578,False,1.4902083
579,False,1.1357174
580,False,1.4902238
581,False,1.4899808
582,False,1.1355371
583,False,1.4899067
584,False,1.4900559
585,False,1.1363763
586,False,1.4901787
587,False,1.1355289
588,False,1.4900787
589,False,1.1358699
590,False,1.2371061
591,False,1.2370418
592,False,1.2372602
593,False,1.2371455
594,False,1.2371436
595,False,1.2377927
596,False,1.2366784
597,False,1.2367632
598,False,1.2371362
599,False,1.236983
600,False,1.2366551
601,False,1.2374763
602,False,1.2355803
603,False,1.2369033
604,False,1.2372769
605,False,1.2362347
606,False,1.2364503
607,False,1.2303251
608,False,1.2296844
609,False,1.2290754
610,False,1.2298485
611,False,1.2302669
612,False,1.2300603
613,False,1.2306213
614,False,1.2307713
615,False,1.2303001
616,False,1.2296087
617,False,1.229324
618,False,1.2298635
619,False,1.2303706
620,False,1.2313129
621,False,1.2310842
622,False,1.2313904
623,False,2.1903212
624,False,1.2315173
625,False,2.1906574
626,False,1.2314811
627,False,2.1904676
628,False,2.1902611
629,False,1.2315608
630,False,2.1904504
631,False,2.1903543
632,False,2.1904068
633,False,2.1906605
634,False,1.2315989
635,False,2.1907074
636,False,1.2315767
637,False,2.1909018
638,False,1.2312837
639,False,1.2313246
640,False,2.190613
641,False,1.230979
642,False,1.230705
643,False,1.2307066
644,False,1.2316902
645,False,1.2322817
646,False,1.2327341
647,False,1.2323885
648,False,1.0572488
649,False,1.057138
650,False,1.0570654
651,False,1.05726
652,False,1.056678
653,False,1.0561911
654,False,1.0558708
655,False,1.0568213
656,False,1.0562415
657,False,1.0569669
658,False,1.0570602
659,False,1.0572761
660,False,1.0570785
661,False,1.0568038
662,False,1.0556909
663,False,1.0566334
664,False,1.0563257
665,False,1.0580637
666,False,1.0573716
667,False,1.4198111
668,False,1.0548311
669,False,1.0567225
670,False,1.0569797
671,False,1.4194492
672,False,1.0576794
673,False,1.0545006
674,False,1.053993
675,False,1.054795
676,False,1.0541475
677,False,1.0543959
678,False,1.0553756
679,False,1.4197074
680,False,1.0566843
681,False,1.4189436
682,False,1.4189546
683,False,1.4187862
684,False,1.4188541
685,False,1.4190065
686,False,1.4190233
687,False,1.4190121
688,False,1.4190127
689,False,1.4191583
690,False,1.4192134
691,False,1.4188992
692,False,1.4187168
693,False,1.4186378
694,False,1.4188541
695,False,1.4188943
696,False,1.41869
697,False,1.4186727
698,False,1.4188895
699,False,1.4190121
700,False,1.4188962
701,False,1.0480024
702,False,1.418965
703,False,1.4190197
704,False,1.4190197
705,False,1.4191062
706,False,1.4185798
707,False,1.4186193
708,False,1.4185562
709,False,1.4186158
710,False,1.0480883
711,False,1.4186525
712,False,1.4187772
713,False,1.4189489
714,False,1.4188862
715,False,1.4185388
716,False,1.4182757
717,False,1.4181165
718,False,1.4182891
719,False,1.4183214
720,False,1.4184635
721,False,1.4186075
722,False,1.4185077
723,False,1.418496
724,False,1.4186581
725,False,1.4184954
726,False,1.0147426
727,False,1.0146612
728,False,1.0167
729,False,1.016012
730,False,1.0164256
731,False,1.0158653
732,False,1.0184423
733,False,1.0181121
734,False,1.0179408
735,False,1.0179331
736,False,1.0177478
737,False,1.0173944
738,False,1.0176445
739,False,1.0170982
740,False,1.0168135
741,False,1.0168045
742,False,1.016713
743,False,1.0167546
744,False,1.0170242
745,False,1.016529
746,False,1.0157477
747,False,1.0196997
748,False,1.019519
749,False,1.0200951
750,False,1.0188444
751,False,1.0209472
752,False,1.0213131
753,False,1.0216678
754,False,1.0217878
755,False,1.0217786
756,False,1.0204974
757,False,1.0212774
758,False,1.5000318
759,False,1.0208701
760,False,1.4993697
761,False,1.4994982
762,False,1.020977
763,False,1.4994982
764,False,1.4994739
765,False,1.4994739
766,False,1.0214595
767,False,1.499393
768,False,1.4994011
769,False,1.4992076
770,False,1.4994092
771,False,1.4995258
772,False,1.4995031
773,False,1.4993234
774,False,1.4994698
775,False,1.499341
776,False,1.4992224
777,False,1.4993302
778,False,1.4993339
779,False,1.4993339
780,False,1.4992584
781,False,1.4901284
782,False,1.4905922
783,False,1.4905976
784,False,1.4903326
785,False,1.4902717
786,False,1.4901836
787,False,1.4904068
788,False,1.4898386
789,False,1.4896199
790,False,1.4898373
791,False,1.4904794
792,False,1.4896766
793,False,1.4906518
794,False,1.490435
795,False,1.4905956
796,False,1.4898006
797,False,1.4898657
798,False,1.4900099
799,False,1.4896843
800,False,1.4897735
801,False,1.4898006
802,False,1.4898353
803,False,1.490221
804,False,1.4900355
805,False,1.4902292
806,False,1.4896691
807,False,1.4904107
808,False,1.4905293
809,False,1.4903673
810,False,1.4904032
811,False,1.4904011
812,False,1.4905738
813,False,1.4899654
814,False,1.489799
815,False,1.4898733
816,False,1.4897133
817,False,1.4898124
818,False,1.489732
819,False,1.489908
820,False,1.4897938
821,False,1.4902772
822,False,1.4904068
823,False,1.4902924
824,False,1.4902257
825,False,1.4898188
826,False,1.489872
827,False,1.4899287
828,False,1.489887
829,False,1.48986
830,False,1.3217278
831,False,1.3213521
832,False,1.3220247
833,False,1.2390522
834,False,1.3220345
835,False,1.3222421
836,False,1.3221817
837,False,1.3220448
838,False,1.2377405
839,False,1.3219354
840,False,1.3219354
841,False,1.3217528
842,False,1.2385172
843,False,1.3224214
844,False,1.2387987
845,False,1.3217698
846,False,1.3214796
847,False,1.3220721
848,False,1.2388189
849,False,1.3216007
850,False,1.3216007
851,False,1.2390105
852,False,1.3226646
853,False,1.3218415
854,False,1.3228103
855,False,1.2390803
856,False,1.3219432
857,False,1.2384793
858,False,1.3225852
859,False,1.3216197
860,False,1.2389909
861,False,1.3213618
862,False,1.321246
863,False,1.2394328
864,False,1.3214266
865,False,1.3212578
866,False,1.3212578
867,False,1.3220854
868,False,1.322188
869,False,1.3219507
870,False,1.2387002
871,False,1.3219612
872,False,1.2394633
873,False,1.3219612
874,False,1.322291
875,False,1.3220904
876,False,1.3228495
877,False,1.3227761
878,False,1.3228855
879,False,1.3229818
880,False,1.3229624
881,False,1.3225447
882,False,1.322523
883,False,1.3228319
884,False,1.3227949
885,False,1.3229882
886,False,1.3229882
887,False,1.3230319
888,False,1.3227464
889,False,1.3229065
890,False,1.3220087
891,False,1.3218329
892,False,1.321702
893,False,1.3221899
894,False,1.3224771
895,False,1.3226857
896,False,1.3230048
897,False,1.3140221
898,False,1.313584
899,False,1.3144529
900,False,1.3148564
901,False,1.3148121
902,False,1.3147343
903,False,1.3144795
904,False,1.3138429
905,False,1.3145939
906,False,1.314571
907,False,1.3145702
908,False,1.3144985
909,False,1.3144529
910,False,1.3145733
911,False,1.314336
912,False,1.3144124
913,False,1.3143173
914,False,1.314432
915,False,1.314341
916,False,1.0524746
917,False,1.0538448
918,False,1.0529064
919,False,1.0524327
920,False,1.0545286
921,False,1.0551986
922,False,1.0513972
923,False,1.0499145
924,False,1.0495585
925,False,1.0489204
926,False,1.0484468
927,False,1.0500448
928,False,1.0522344
929,False,1.0503014
930,False,1.0497056
931,False,1.0494035
932,False,1.0484726
933,False,1.0469383
934,False,1.9504242
935,False,1.9510553
936,False,1.9507735
937,False,1.9505879
938,False,1.9506743
939,False,1.950415
940,False,1.9507513
941,False,1.1389664
942,False,1.139829
943,False,1.1403953
944,False,1.1383187
945,False,1.1422302
946,False,1.1431825
947,False,1.1438519
948,False,1.1428766
949,False,1.1401442
950,False,1.1419133
951,False,1.1452497
952,False,1.146735
953,False,1.1467565
954,False,1.149399
955,False,1.3140405
956,False,1.31446
957,False,1.3144785
958,False,1.3148196
959,False,1.3142357
960,False,1.3144047
961,False,1.314343
962,False,1.3144193
963,False,1.3144392
964,False,1.314348
965,False,1.0200368
966,False,1.4993148
967,False,1.4907537
968,False,1.4907537
969,False,1.4905951
970,False,1.4906255
971,False,1.4899224
972,False,1.489917
973,False,1.4903895
974,False,1.4896544
975,False,1.4894841
976,False,1.4898955
977,False,1.489599
978,False,1.4903382
979,False,1.4901781
980,False,1.4902772
981,False,1.4902236
982,False,1.4905754
983,False,1.4898671
984,False,1.4904687
985,False,1.49014
986,False,1.489953
987,False,1.4898518
988,False,1.4898136
989,False,1.4896386
