index,must_bnc,n_bnc,owtt,must_bnc0,n_bnc0,owtt0
92,True,1,1.2383847,True,1,1.2339201
93,True,1,1.2381692,True,1,1.2337073
94,True,1,1.2385004,True,1,1.2340345
95,True,1,1.2383685,True,1,1.2339041
96,True,1,1.2380038,True,1,1.2335438
97,True,1,1.2375518,True,1,1.2327586
98,True,1,1.2380674,True,1,1.2336065
99,True,1,1.239521,True,1,1.2350562
100,True,1,1.2393619,True,1,1.2348986
101,True,1,1.2386293,True,1,1.2341623
102,True,1,1.2389218,True,1,1.2344579
103,True,1,1.2380946,True,1,1.2336332
104,True,1,1.2381345,True,1,1.2336729
105,True,1,1.2382362,True,1,1.2337735
106,True,1,1.237783,True,1,1.2333246
107,True,1,1.2377273,True,1,1.2332695
108,True,1,1.2378172,True,1,1.2333586
109,True,1,1.2370826,True,1,1.2322919
110,True,1,1.237168,True,1,1.2323765
111,True,1,1.2379564,True,1,1.2334968
112,True,1,1.2376019,True,1,1.2328085
113,True,1,1.2379599,True,1,1.2335002
114,True,1,1.2378339,True,1,1.2333752
115,False,0,2.1882706,False,0,2.1882718
116,False,0,1.228691,False,0,1.2284551
117,False,0,1.2287291,False,0,1.2284931
118,False,0,1.2274109,False,0,1.2271756
119,False,0,1.227229,False,0,1.2269938
120,False,0,1.2267834,False,0,1.2265482
121,False,0,1.0431036,False,0,1.0427761
122,False,0,1.04392,False,0,1.04359
123,False,0,1.0436492,False,0,1.0433205
124,False,0,1.0430117,False,0,1.0426842
125,False,0,1.0425091,False,0,1.0421813
126,False,0,1.0421686,False,0,1.0418407
127,False,0,1.4156511,False,0,1.4156735
128,False,0,1.0425453,False,0,1.0422171
129,False,0,1.415757,False,0,1.4157794
130,False,0,1.0428609,False,0,1.0425336
131,False,0,1.4157015,False,0,1.4157238
132,False,0,1.4157188,False,0,1.4157412
133,False,0,1.0438462,False,0,1.043516
134,False,0,1.4159082,False,0,1.4159313
135,False,0,1.0445182,False,0,1.0441897
136,False,0,1.4158814,False,0,1.4159043
137,False,0,1.0449485,False,0,1.04462
138,False,0,1.4158621,False,0,1.415885
139,False,0,1.0441476,False,0,1.0438179
140,False,0,1.4156926,False,0,1.4157151
141,False,0,1.0431339,False,0,1.0428064
142,False,0,1.4155681,False,0,1.4155904
143,False,0,1.043631,False,0,1.0433025
144,False,0,1.0441134,False,0,1.0437834
145,False,0,1.0433044,False,0,1.0429751
146,False,0,1.0435102,False,0,1.0431815
147,False,0,1.4160361,False,0,1.4160593
148,False,0,1.0435318,False,0,1.0432031
149,False,0,1.4160197,False,0,1.4160426
150,False,0,1.0429225,False,0,1.0425951
151,False,0,1.4158828,False,0,1.4159057
152,False,0,1.0433322,False,0,1.0430027
153,False,0,1.415864,False,0,1.4158871
154,False,0,1.0424339,False,0,1.0421059
155,False,0,1.4157484,False,0,1.415771
156,False,0,1.0430276,False,0,1.0427
157,False,0,1.4158045,False,0,1.4158268
158,False,0,1.4158165,False,0,1.4158394
159,False,0,1.042224,False,0,1.0418959
160,False,0,1.4156662,False,0,1.4156885
161,False,0,1.0421107,False,0,1.0417778
162,False,0,1.4157937,False,0,1.4158158
163,False,0,1.0426264,False,0,1.0422988
164,False,0,1.4158593,False,0,1.4158821
165,False,0,1.4156364,False,0,1.4156588
166,False,0,1.0432955,False,0,1.0429661
167,False,0,1.4153117,False,0,1.4153341
168,False,0,1.4152509,False,0,1.4152732
169,False,0,1.4154223,False,0,1.4154446
170,False,0,1.4152863,False,0,1.4153086
171,False,0,1.4154555,False,0,1.4154776
172,False,0,1.0432535,False,0,1.042924
173,False,0,1.4155127,False,0,1.4155351
174,False,0,1.042432,False,0,1.0421039
175,False,0,1.4153755,False,0,1.4153976
176,False,0,1.041903,False,0,1.0415698
177,False,0,1.4155468,False,0,1.415569
178,False,0,1.0424078,False,0,1.0420797
179,False,0,1.4153649,False,0,1.4153874
180,False,0,1.0428762,False,0,1.0425488
181,False,0,1.4154028,False,0,1.4154252
182,False,0,1.4152371,False,0,1.4152592
183,False,0,1.4175441,False,0,1.4171212
