index,must_bnc,n_bnc,owtt,must_bnc0,n_bnc0,owtt0
132,False,0,1.4201275,False,0,1.4199734
133,False,0,1.0504208,False,0,1.0504296
134,False,0,1.4203194,False,0,1.4201639
135,False,0,1.0510873,False,0,1.0511044
136,False,0,1.4202923,False,0,1.4201367
137,False,0,1.0515177,False,0,1.051536
138,False,0,1.4202731,False,0,1.4201173
139,False,0,1.0507227,False,0,1.050732
140,False,0,1.4201028,False,0,1.419947
141,False,0,1.0497102,False,0,1.0497184
142,False,0,1.4199939,False,0,1.4198233
143,False,0,1.050215,False,0,1.0502155
144,False,0,1.0506883,False,0,1.0506973
145,False,0,1.0498788,False,0,1.0498874
146,False,0,1.0500939,False,0,1.0500944
147,False,0,1.4204592,False,0,1.4202919
148,False,0,1.0501155,False,0,1.0501157
149,False,0,1.4204373,False,0,1.4202752
150,False,0,1.049518,False,0,1.049506
151,False,0,1.4202901,False,0,1.420138
152,False,0,1.049915,False,0,1.049915
153,False,0,1.420275,False,0,1.4201193
154,False,0,1.0490289,False,0,1.0490144
155,False,0,1.4201587,False,0,1.4200033
156,False,0,1.0496231,False,0,1.0496117
157,False,0,1.4202094,False,0,1.4200592
158,False,0,1.420222,False,0,1.4200717
159,False,0,1.0488325,False,0,1.0488038
160,False,0,1.420078,False,0,1.4199216
161,False,0,1.0487146,False,0,1.0486854
162,False,0,1.4202001,False,0,1.420048
163,False,0,1.0492216,False,0,1.0492089
164,False,0,1.4202772,False,0,1.4201146
165,False,0,1.4200523,False,0,1.4198917
166,False,0,1.0498784,False,0,1.0498784
167,False,0,1.4197555,False,0,1.4195665
168,False,0,1.4196924,False,0,1.4195055
169,False,0,1.4198567,False,0,1.4196774
170,False,0,1.4197193,False,0,1.4195408
171,False,0,1.4198866,False,0,1.4197104
172,False,0,1.0498363,False,0,1.0498362
173,False,0,1.4199456,False,0,1.4197677
174,False,0,1.0490267,False,0,1.0490123
175,False,0,1.4198194,False,0,1.4196302
176,False,0,1.0485066,False,0,1.0484772
177,False,0,1.4199724,False,0,1.4198018
178,False,0,1.0490026,False,0,1.0489882
179,False,0,1.4197999,False,0,1.4196197
180,False,0,1.0494719,False,0,1.0494596
181,False,0,1.4198362,False,0,1.4196577
182,False,0,1.4196678,False,0,1.4194916
183,False,0,1.4186025,False,0,1.4185773
184,False,0,1.4186724,False,0,1.4186473
185,False,0,1.4187446,False,0,1.4187192
186,False,0,1.4188203,False,0,1.418795
187,False,0,1.41858,False,0,1.4185551
188,False,0,1.4185814,False,0,1.4185568
189,False,0,1.418548,False,0,1.4185233
190,False,0,1.4185282,False,0,1.418503
191,False,0,1.4184097,False,0,1.4183848
192,False,0,1.4188176,False,0,1.4187927
193,False,0,1.4187591,False,0,1.4187338
194,False,0,1.4187115,False,0,1.418687
195,False,0,1.4187422,False,0,1.4187173
196,False,0,1.4186816,False,0,1.4186565
197,False,0,1.4187422,False,0,1.4187173
198,False,0,1.4187561,False,0,1.4187312
199,False,0,1.4185019,False,0,1.4184769
200,False,0,1.4186459,False,0,1.4186212
201,False,0,1.4186769,False,0,1.418652
202,False,0,1.4186001,False,0,1.4185755
203,False,0,1.4186274,False,0,1.4186021
204,False,0,1.4187886,False,0,1.4187638
205,False,0,1.4187802,False,0,1.4187554
206,False,0,1.4185842,False,0,1.4185592
207,False,0,1.418454,False,0,1.418429
208,False,0,1.4185085,False,0,1.4184837
209,False,0,1.4184766,False,0,1.4184518
210,False,0,1.4182041,False,0,1.4181788
211,False,0,1.4183165,False,0,1.4182917
212,False,0,1.4183613,False,0,1.4183362
213,False,0,1.4183782,False,0,1.4183537
214,False,0,1.4186589,False,0,1.4186339
215,False,0,1.4184558,False,0,1.418431
216,False,0,1.0168298,False,0,1.0167632
217,False,0,1.016138,False,0,1.016085
218,False,0,1.01615,False,0,1.0160784
219,False,0,1.0162406,False,0,1.0161822
220,False,0,1.0161047,False,0,1.016052
221,False,0,1.0162027,False,0,1.0161293
222,False,0,1.0162243,False,0,1.0161586
223,False,0,1.0164926,False,0,1.0164258
224,False,0,1.0146929,False,0,1.0146487
225,False,0,1.015544,False,0,1.0154972
226,False,0,1.0149564,False,0,1.0149064
227,False,0,1.0148042,False,0,1.0147603
228,False,0,1.0148383,False,0,1.0147941
229,False,0,1.0160631,False,0,1.0160104
230,False,0,1.0151042,False,0,1.0150553
231,False,0,1.0153413,False,0,1.0152894
232,False,0,1.0148656,False,0,1.0148206
233,False,0,1.014912,False,0,1.014867
234,False,0,1.0144212,False,0,1.0143864
235,False,0,1.0152141,False,0,1.0151703
236,False,0,1.015655,False,0,1.0155983
237,False,0,1.0161202,False,0,1.0160596
238,False,0,1.0172127,False,0,1.0171317
239,False,0,1.0171038,False,0,1.0170228
240,False,0,1.0161513,False,0,1.0160934
241,False,0,1.0160631,False,0,1.0160104
242,False,0,1.0153787,False,0,1.0153269
243,False,0,1.0155479,False,0,1.0154929
244,False,0,1.0151719,False,0,1.0151274
245,False,0,1.0161867,False,0,1.0161151
246,False,0,1.0165589,False,0,1.0165055
247,False,0,1.0175259,False,0,1.0174431
248,False,0,1.0175387,False,0,1.0174605
249,False,0,1.0185378,False,0,1.0184499
250,False,0,1.4911203,False,0,1.490924
251,False,0,1.491576,False,0,1.491379
252,False,0,1.4915402,False,0,1.4913428
253,False,0,1.4916251,False,0,1.4914284
254,False,0,1.4917351,False,0,1.4915339
255,False,0,1.4912589,False,0,1.4910622
256,False,0,1.4908212,False,0,1.4906365
257,False,0,1.1327213,False,0,1.1326162
258,False,0,1.1325948,False,0,1.1324894
259,False,0,1.135694,False,0,1.1355166
260,False,0,1.1346679,False,0,1.134491
261,False,0,1.490734,False,0,1.4905497
262,False,0,1.490604,False,0,1.4904202
263,False,0,1.1325918,False,0,1.1324867
264,False,0,1.4908842,False,0,1.4906994
265,False,0,1.4908795,False,0,1.4906945
266,False,0,1.1350259,False,0,1.1348491
267,False,0,1.4910506,False,0,1.490857
268,False,0,1.4908966,False,0,1.4907118
269,False,0,1.4910289,False,0,1.4908355
270,False,0,1.4908404,False,0,1.4906557
271,False,0,1.1365464,False,0,1.1363724
272,False,0,1.4898105,False,0,1.4897829
