index,must_bnc,n_bnc,owtt,must_bnc0,n_bnc0,owtt0
61,False,0,1.4909958,False,0,1.4910034
62,False,0,1.4907042,False,0,1.4907116
63,False,0,1.4907166,False,0,1.4907227
64,False,0,1.4906191,False,0,1.4906265
65,False,0,1.4908158,False,0,1.4908218
66,False,0,1.4908613,False,0,1.4908674
67,False,0,1.135147,False,0,1.1351433
68,False,0,1.490684,False,0,1.4906902
69,False,0,1.1352845,False,0,1.1352807
70,False,0,1.49095,False,0,1.4909564
71,False,0,1.1346402,False,0,1.1346363
72,False,0,1.4907339,False,0,1.4907402
73,False,0,1.1344696,False,0,1.1344656
74,False,0,1.4908587,False,0,1.4908648
75,False,0,1.1337199,False,0,1.133716
76,False,0,1.491068,False,0,1.4910755
77,False,0,1.1343576,False,0,1.1343541
78,False,0,1.491081,False,0,1.4910886
79,False,0,1.135285,False,0,1.1352813
80,False,0,1.4911532,False,0,1.4911593
81,False,0,1.4909939,False,0,1.4910017
82,False,0,1.4910479,False,0,1.4910557
83,False,0,1.490829,False,0,1.4908364
84,False,0,1.4911112,False,0,1.4911187
85,False,0,1.4910389,False,0,1.491045
86,False,0,1.4907846,False,0,1.4907905
87,False,0,1.4907312,False,0,1.4907373
88,False,0,1.490312,False,0,1.4903189
89,False,0,1.4903966,False,0,1.4904034
90,False,0,1.2360486,False,0,1.2359853
91,False,0,1.2364087,False,0,1.2363449
92,False,0,1.2365162,False,0,1.2364523
93,False,0,1.2363014,False,0,1.2362376
94,False,0,1.2366319,False,0,1.2365677
95,False,0,1.2365,False,0,1.2364361
96,False,0,1.2361362,False,0,1.2360725
97,False,0,1.2356842,False,0,1.235621
98,False,0,1.2361997,False,0,1.2361358
99,False,0,1.2376515,False,0,1.2375897
100,False,0,1.2374924,False,0,1.2374308
101,False,0,1.2367609,False,0,1.2366968
102,False,0,1.237053,False,0,1.2369921
103,False,0,1.2362267,False,0,1.2361629
104,False,0,1.2362666,False,0,1.236203
105,False,0,1.2363682,False,0,1.2363044
106,False,0,1.2359148,False,0,1.2358518
107,False,0,1.235859,False,0,1.235796
108,False,0,1.235949,False,0,1.2358857
109,False,0,1.2352146,False,0,1.2351522
110,False,0,1.2352997,False,0,1.2352371
111,False,0,1.2360888,False,0,1.2360252
112,False,0,1.2357342,False,0,1.2356712
113,False,0,1.2360922,False,0,1.2360287
114,False,0,1.2359658,False,0,1.2359027
115,False,0,2.1933506,False,0,2.193366
116,False,0,1.2326398,False,0,1.2326432
117,False,0,1.2326809,False,0,1.2326815
118,False,0,1.2313551,False,0,1.2313589
119,False,0,1.2311718,False,0,1.2311765
120,False,0,1.2307259,False,0,1.2307291
121,False,0,1.0521239,False,0,1.0521809
122,False,0,1.0529466,False,0,1.0530021
123,False,0,1.0526736,False,0,1.0527302
124,False,0,1.0520314,False,0,1.0520881
125,False,0,1.0515237,False,0,1.051581
126,False,0,1.05118,False,0,1.0512371
127,False,0,1.4215941,False,0,1.4215149
128,False,0,1.0515603,False,0,1.0516173
129,False,0,1.4217004,False,0,1.4216211
130,False,0,1.0518798,False,0,1.0519361
131,False,0,1.4216448,False,0,1.4215655
132,False,0,1.4216608,False,0,1.4215829
133,False,0,1.0528712,False,0,1.0529275
134,False,0,1.4218651,False,0,1.4217737
135,False,0,1.0535502,False,0,1.053607
136,False,0,1.4218364,False,0,1.4217467
137,False,0,1.0539855,False,0,1.0540413
138,False,0,1.4218211,False,0,1.4217277
139,False,0,1.0531763,False,0,1.053232
140,False,0,1.4216362,False,0,1.4215567
141,False,0,1.0521549,False,0,1.0522114
142,False,0,1.4215103,False,0,1.4214319
143,False,0,1.0526557,False,0,1.0527118
144,False,0,1.0531409,False,0,1.053197
145,False,0,1.0523256,False,0,1.0523819
146,False,0,1.052534,False,0,1.0525903
147,False,0,1.4219958,False,0,1.4219021
148,False,0,1.0525554,False,0,1.0526117
149,False,0,1.4219728,False,0,1.4218856
150,False,0,1.0519413,False,0,1.0519985
151,False,0,1.4218434,False,0,1.4217482
152,False,0,1.0523534,False,0,1.0524095
153,False,0,1.4218228,False,0,1.4217293
154,False,0,1.0514477,False,0,1.0515047
155,False,0,1.4216903,False,0,1.4216129
156,False,0,1.0520471,False,0,1.0521044
157,False,0,1.4217616,False,0,1.4216688
158,False,0,1.4217741,False,0,1.4216813
159,False,0,1.051236,False,0,1.0512929
160,False,0,1.4216095,False,0,1.4215302
161,False,0,1.0511163,False,0,1.0511739
162,False,0,1.4217519,False,0,1.4216578
163,False,0,1.0516427,False,0,1.0516994
164,False,0,1.4218202,False,0,1.4217244
165,False,0,1.4215795,False,0,1.4215004
166,False,0,1.0523163,False,0,1.0523727
167,False,0,1.4212662,False,0,1.4211742
168,False,0,1.4212065,False,0,1.4211131
169,False,0,1.4213619,False,0,1.421285
170,False,0,1.4212385,False,0,1.4211484
171,False,0,1.4213952,False,0,1.4213183
172,False,0,1.052274,False,0,1.0523304
173,False,0,1.4214549,False,0,1.4213763
174,False,0,1.0514457,False,0,1.0515028
175,False,0,1.4213315,False,0,1.421238
176,False,0,1.0509063,False,0,1.0509639
177,False,0,1.4214911,False,0,1.4214102
178,False,0,1.0514213,False,0,1.0514784
179,False,0,1.4213198,False,0,1.4212277
180,False,0,1.051895,False,0,1.0519516
181,False,0,1.4213598,False,0,1.4212656
182,False,0,1.4211894,False,0,1.4210993
183,False,0,1.4194909,False,0,1.4194957
184,False,0,1.4195614,False,0,1.4195656
185,False,0,1.4196329,False,0,1.4196378
186,False,0,1.4197087,False,0,1.4197135
187,False,0,1.4194688,False,0,1.4194735
188,False,0,1.4194697,False,0,1.419475
